--- Booting up Custom 8-Bit CPU ---
|   Time    | Reset | PC |  R1 |  R2 | CPU Output
=========================================================
       0ps |   1   |  0 |  00  |  00  |      0
    5000ps |   1   |  0 |  00  |  00  |      0
   12000ps |   0   |  0 |  00  |  00  |      0
   15000ps |   0   |  1 |  42  |  00  |      0
   25000ps |   0   |  2 |  42  |  18  |      0
   35000ps |   0   |  3 |  42  |  5a  |      0
   45000ps |   0   |  4 |  84  |  5a  |      0
   55000ps |   0   |  5 |  2a  |  5a  |      0
   65000ps |   0   |  6 |  70  |  5a  |      0
   75000ps |   0   |  7 |  70  |  71  |      0
   85000ps |   0   |  8 |  0f  |  71  |      0
   95000ps |   0   |  9 |  0f  |  01  |      0
  105000ps |   0   | 10 |  0f  |  01  |      1
  115000ps |   0   | 11 |  0f  |  01  |      1
  125000ps |   0   | 12 |  0f  |  01  |      1
  135000ps |   0   | 13 |  0f  |  01  |      1
  145000ps |   0   | 14 |  0f  |  01  |      1
  155000ps |   0   | 15 |  0f  |  01  |      1
--- Booting up Custom 8-Bit CPU ---
